clip_id,voice_id,sentence_id,noise_type,snr_db,path,reference_raw,prediction_raw,reference_norm,prediction_norm,wer,cer
voice_08_s012_cafe_-10db,voice_08,s012,cafe,-10,data\noisy_wav\voice_08_s012_cafe_-10db.wav,The students waited quietly outside the classroom.,Starting to pare lips then leaving us far,the students waited quietly outside the classroom,starting to pare lips then leaving us far,1.1428571428571428,0.7755102040816326
voice_02_s024_cafe_-10db,voice_02,s024,cafe,-10,data\noisy_wav\voice_02_s024_cafe_-10db.wav,The red bicycle leaned against the brick wall.,the red lights that I need against the red lights.,the red bicycle leaned against the brick wall,the red lights that i need against the red lights,0.75,0.5111111111111111
voice_08_s025_cafe_-10db,voice_08,s025,cafe,-10,data\noisy_wav\voice_08_s025_cafe_-10db.wav,We heard music coming from the upstairs apartment.,We love music coming from the upstairs.,we heard music coming from the upstairs apartment,we love music coming from the upstairs,0.25,0.30612244897959184
voice_04_s006_cafe_-10db,voice_04,s006,cafe,-10,data\noisy_wav\voice_04_s006_cafe_-10db.wav,The train stopped suddenly near the station.,They tried to stop setting the new station.,the train stopped suddenly near the station,they tried to stop setting the new station,0.8571428571428571,0.5348837209302325
voice_03_s005_cafe_-10db,voice_03,s005,cafe,-10,data\noisy_wav\voice_03_s005_cafe_-10db.wav,I heard thunder while walking across campus.,,i heard thunder while walking across campus,,1.0,1.0
voice_08_s045_cafe_-10db,voice_08,s045,cafe,-10,data\noisy_wav\voice_08_s045_cafe_-10db.wav,She closed the book and looked at the clock.,She closed the door.,she closed the book and looked at the clock,she closed the door,0.6666666666666666,0.5813953488372093
voice_08_s028_cafe_-10db,voice_08,s028,cafe,-10,data\noisy_wav\voice_08_s028_cafe_-10db.wav,The bus driver waited at the corner.,"That's right, that's right.",the bus driver waited at the corner,that's right that's right,1.0,0.6857142857142857
voice_03_s025_cafe_-10db,voice_03,s025,cafe,-10,data\noisy_wav\voice_03_s025_cafe_-10db.wav,We heard music coming from the upstairs apartment.,,we heard music coming from the upstairs apartment,,1.0,1.0
voice_02_s019_cafe_-10db,voice_02,s019,cafe,-10,data\noisy_wav\voice_02_s019_cafe_-10db.wav,They walked through the park after dinner.,I'm going to go to the park after dinner.,they walked through the park after dinner,i'm going to go to the park after dinner,0.7142857142857143,0.3902439024390244
voice_10_s001_cafe_-10db,voice_10,s001,cafe,-10,data\noisy_wav\voice_10_s001_cafe_-10db.wav,The package arrived before noon.,,the package arrived before noon,,1.0,1.0
voice_01_s010_cafe_-10db,voice_01,s010,cafe,-10,data\noisy_wav\voice_01_s010_cafe_-10db.wav,The lights flickered when the storm began.,,the lights flickered when the storm began,,1.0,1.0
voice_04_s045_cafe_-10db,voice_04,s045,cafe,-10,data\noisy_wav\voice_04_s045_cafe_-10db.wav,She closed the book and looked at the clock.,She plans to buy her dinner.,she closed the book and looked at the clock,she plans to buy her dinner,0.8888888888888888,0.6976744186046512
voice_09_s007_cafe_-10db,voice_09,s007,cafe,-10,data\noisy_wav\voice_09_s007_cafe_-10db.wav,He placed the coffee mug beside the window.,Place the塊 in the center.,he placed the coffee mug beside the window,place the in the center,0.75,0.5952380952380952
voice_02_s035_cafe_-10db,voice_02,s035,cafe,-10,data\noisy_wav\voice_02_s035_cafe_-10db.wav,He checked the map before leaving the hotel.,He's out with the map before leaving the hotel.,he checked the map before leaving the hotel,he's out with the map before leaving the hotel,0.375,0.23255813953488372
voice_08_s022_cafe_-10db,voice_08,s022,cafe,-10,data\noisy_wav\voice_08_s022_cafe_-10db.wav,The meeting was moved to a larger room.,my CARAT MY MOM哈,the meeting was moved to a larger room,my carat my mom,1.0,0.7894736842105263
voice_08_s039_cafe_-10db,voice_08,s039,cafe,-10,data\noisy_wav\voice_08_s039_cafe_-10db.wav,She left her umbrella in the back seat.,I'm going to have to run about on the back side of the car.,she left her umbrella in the back seat,i'm going to have to run about on the back side of the car,1.5,0.9473684210526315
voice_10_s046_cafe_-10db,voice_10,s046,cafe,-10,data\noisy_wav\voice_10_s046_cafe_-10db.wav,The car engine started after a few tries.,,the car engine started after a few tries,,1.0,1.0
voice_01_s031_cafe_-10db,voice_01,s031,cafe,-10,data\noisy_wav\voice_01_s031_cafe_-10db.wav,Please send the report before the end of the day.,You found the report.,please send the report before the end of the day,you found the report,0.8,0.7291666666666666
voice_07_s017_cafe_-10db,voice_07,s017,cafe,-10,data\noisy_wav\voice_07_s017_cafe_-10db.wav,Please leave the receipt on the kitchen counter.,IN Zhengoxi,please leave the receipt on the kitchen counter,in zhengoxi,1.0,0.851063829787234
voice_09_s009_cafe_-10db,voice_09,s009,cafe,-10,data\noisy_wav\voice_09_s009_cafe_-10db.wav,We ordered soup and bread for lunch.,"I don't know if it's true or not, I guess.",we ordered soup and bread for lunch,i don't know if it's true or not i guess,1.4285714285714286,0.8857142857142857
voice_10_s041_cafe_-10db,voice_10,s041,cafe,-10,data\noisy_wav\voice_10_s041_cafe_-10db.wav,He turned off the alarm before going outside.,We're turning off the floor for a moment outside.,he turned off the alarm before going outside,we're turning off the floor for a moment outside,0.75,0.4318181818181818
voice_10_s042_cafe_-10db,voice_10,s042,cafe,-10,data\noisy_wav\voice_10_s042_cafe_-10db.wav,The letter was hidden inside the blue envelope.,But let's have a stand.,the letter was hidden inside the blue envelope,but let's have a stand,1.0,0.7391304347826086
voice_06_s031_cafe_-10db,voice_06,s031,cafe,-10,data\noisy_wav\voice_06_s031_cafe_-10db.wav,Please send the report before the end of the day.,So I enjoyed playing,please send the report before the end of the day,so i enjoyed playing,1.0,0.8333333333333334
voice_08_s007_cafe_-10db,voice_08,s007,cafe,-10,data\noisy_wav\voice_08_s007_cafe_-10db.wav,He placed the coffee mug beside the window.,place with a column on the side.,he placed the coffee mug beside the window,place with a column on the side,0.875,0.5952380952380952
voice_02_s027_cafe_-10db,voice_02,s027,cafe,-10,data\noisy_wav\voice_02_s027_cafe_-10db.wav,She folded the blanket and placed it on the chair.,We folded the blanket and placed it on the tree.,she folded the blanket and placed it on the chair,we folded the blanket and placed it on the tree,0.2,0.14285714285714285
voice_10_s012_cafe_-10db,voice_10,s012,cafe,-10,data\noisy_wav\voice_10_s012_cafe_-10db.wav,The students waited quietly outside the classroom.,but students played it a great time so... I hope so.,the students waited quietly outside the classroom,but students played it a great time so i hope so,1.4285714285714286,0.6326530612244898
voice_10_s048_cafe_-10db,voice_10,s048,cafe,-10,data\noisy_wav\voice_10_s048_cafe_-10db.wav,The glass bottle rolled under the table.,"You're right, you're right.",the glass bottle rolled under the table,you're right you're right,1.0,0.7948717948717948
voice_05_s012_cafe_-10db,voice_05,s012,cafe,-10,data\noisy_wav\voice_05_s012_cafe_-10db.wav,The students waited quietly outside the classroom.,student. Okay.,the students waited quietly outside the classroom,student okay,1.0,0.7959183673469388
voice_03_s002_cafe_-10db,voice_03,s002,cafe,-10,data\noisy_wav\voice_03_s002_cafe_-10db.wav,She forgot her notebook at the library.,These are my intent,she forgot her notebook at the library,these are my intent,1.0,0.7894736842105263
voice_07_s035_cafe_-10db,voice_07,s035,cafe,-10,data\noisy_wav\voice_07_s035_cafe_-10db.wav,He checked the map before leaving the hotel.,That you Bolt will be on the side of the ordinary soybean,he checked the map before leaving the hotel,that you bolt will be on the side of the ordinary soybean,1.375,1.0
voice_08_s012_cafe_-5db,voice_08,s012,cafe,-5,data\noisy_wav\voice_08_s012_cafe_-5db.wav,The students waited quietly outside the classroom.,Students waiting quietly outside the lands road.,the students waited quietly outside the classroom,students waiting quietly outside the lands road,0.5714285714285714,0.2653061224489796
